date,region,demand,sku
2025-01-19,North Hub,158,PKG-A
2025-01-19,South Hub,135,PKG-A
2025-01-19,East Metro,180,PKG-B
2025-01-19,West Port,120,PKG-A
2025-01-19,Central DC,275,PKG-C
2025-01-20,North Hub,160,PKG-A
2025-01-20,South Hub,138,PKG-A
2025-01-20,East Metro,182,PKG-B
2025-01-20,West Port,122,PKG-A
2025-01-20,Central DC,278,PKG-C
2025-01-21,North Hub,162,PKG-A
2025-01-21,South Hub,140,PKG-A
2025-01-21,East Metro,185,PKG-B
2025-01-21,West Port,125,PKG-A
2025-01-21,Central DC,280,PKG-C
2025-01-22,North Hub,165,PKG-A
2025-01-22,South Hub,142,PKG-A
2025-01-22,East Metro,188,PKG-B
2025-01-22,West Port,128,PKG-A
2025-01-22,Central DC,282,PKG-C
2025-01-23,North Hub,168,PKG-A
2025-01-23,South Hub,145,PKG-A
2025-01-23,East Metro,190,PKG-B
2025-01-23,West Port,130,PKG-A
2025-01-23,Central DC,285,PKG-C
2025-01-24,North Hub,170,PKG-A
2025-01-24,South Hub,148,PKG-A
2025-01-24,East Metro,192,PKG-B
2025-01-24,West Port,132,PKG-A
2025-01-24,Central DC,288,PKG-C
2025-01-25,North Hub,172,PKG-A
2025-01-25,South Hub,150,PKG-A
2025-01-25,East Metro,195,PKG-B
2025-01-25,West Port,135,PKG-A
2025-01-25,Central DC,290,PKG-C
2025-01-26,North Hub,175,PKG-A
2025-01-26,South Hub,152,PKG-A
2025-01-26,East Metro,198,PKG-B
2025-01-26,West Port,138,PKG-A
2025-01-26,Central DC,292,PKG-C
2025-01-27,North Hub,178,PKG-A
2025-01-27,South Hub,155,PKG-A
2025-01-27,East Metro,200,PKG-B
2025-01-27,West Port,140,PKG-A
2025-01-27,Central DC,295,PKG-C
2025-01-28,North Hub,180,PKG-A
2025-01-28,South Hub,158,PKG-A
2025-01-28,East Metro,202,PKG-B
2025-01-28,West Port,142,PKG-A
2025-01-28,Central DC,298,PKG-C
2025-01-29,North Hub,182,PKG-A
2025-01-29,South Hub,160,PKG-A
2025-01-29,East Metro,205,PKG-B
2025-01-29,West Port,145,PKG-A
2025-01-29,Central DC,300,PKG-C
2025-01-30,North Hub,185,PKG-A
2025-01-30,South Hub,162,PKG-A
2025-01-30,East Metro,208,PKG-B
2025-01-30,West Port,148,PKG-A
2025-01-30,Central DC,302,PKG-C
2025-01-31,North Hub,188,PKG-A
2025-01-31,South Hub,165,PKG-A
2025-01-31,East Metro,210,PKG-B
2025-01-31,West Port,150,PKG-A
2025-01-31,Central DC,305,PKG-C
2025-02-01,North Hub,190,PKG-A
2025-02-01,South Hub,168,PKG-A
2025-02-01,East Metro,212,PKG-B
2025-02-01,West Port,152,PKG-A
2025-02-01,Central DC,308,PKG-C
2025-02-02,North Hub,192,PKG-A
2025-02-02,South Hub,170,PKG-A
2025-02-02,East Metro,215,PKG-B
2025-02-02,West Port,155,PKG-A
2025-02-02,Central DC,310,PKG-C
2025-02-03,North Hub,195,PKG-A
2025-02-03,South Hub,172,PKG-A
2025-02-03,East Metro,218,PKG-B
2025-02-03,West Port,158,PKG-A
2025-02-03,Central DC,312,PKG-C
2025-02-04,North Hub,198,PKG-A
2025-02-04,South Hub,175,PKG-A
2025-02-04,East Metro,220,PKG-B
2025-02-04,West Port,160,PKG-A
2025-02-04,Central DC,315,PKG-C
2025-02-05,North Hub,200,PKG-A
2025-02-05,South Hub,178,PKG-A
2025-02-05,East Metro,222,PKG-B
2025-02-05,West Port,162,PKG-A
2025-02-05,Central DC,318,PKG-C
2025-02-06,North Hub,202,PKG-A
2025-02-06,South Hub,180,PKG-A
2025-02-06,East Metro,225,PKG-B
2025-02-06,West Port,165,PKG-A
2025-02-06,Central DC,320,PKG-C
2025-02-07,North Hub,205,PKG-A
2025-02-07,South Hub,182,PKG-A
2025-02-07,East Metro,228,PKG-B
2025-02-07,West Port,168,PKG-A
2025-02-07,Central DC,322,PKG-C
2025-02-08,North Hub,208,PKG-A
2025-02-08,South Hub,185,PKG-A
2025-02-08,East Metro,230,PKG-B
2025-02-08,West Port,170,PKG-A
2025-02-08,Central DC,325,PKG-C
2025-02-09,North Hub,210,PKG-A
2025-02-09,South Hub,188,PKG-A
2025-02-09,East Metro,232,PKG-B
2025-02-09,West Port,172,PKG-A
2025-02-09,Central DC,328,PKG-C
2025-02-10,North Hub,212,PKG-A
2025-02-10,South Hub,190,PKG-A
2025-02-10,East Metro,235,PKG-B
2025-02-10,West Port,175,PKG-A
2025-02-10,Central DC,330,PKG-C
2025-02-11,North Hub,215,PKG-A
2025-02-11,South Hub,192,PKG-A
2025-02-11,East Metro,238,PKG-B
2025-02-11,West Port,178,PKG-A
2025-02-11,Central DC,332,PKG-C
2025-02-12,North Hub,218,PKG-A
2025-02-12,South Hub,195,PKG-A
2025-02-12,East Metro,240,PKG-B
2025-02-12,West Port,180,PKG-A
2025-02-12,Central DC,335,PKG-C
2025-02-13,North Hub,220,PKG-A
2025-02-13,South Hub,198,PKG-A
2025-02-13,East Metro,242,PKG-B
2025-02-13,West Port,182,PKG-A
2025-02-13,Central DC,338,PKG-C
2025-02-14,North Hub,222,PKG-A
2025-02-14,South Hub,200,PKG-A
2025-02-14,East Metro,245,PKG-B
2025-02-14,West Port,185,PKG-A
2025-02-14,Central DC,340,PKG-C
2025-02-15,North Hub,225,PKG-A
2025-02-15,South Hub,202,PKG-A
2025-02-15,East Metro,248,PKG-B
2025-02-15,West Port,188,PKG-A
2025-02-15,Central DC,342,PKG-C
2025-02-16,North Hub,228,PKG-A
2025-02-16,South Hub,205,PKG-A
2025-02-16,East Metro,250,PKG-B
2025-02-16,West Port,190,PKG-A
2025-02-16,Central DC,345,PKG-C
2025-02-17,North Hub,230,PKG-A
2025-02-17,South Hub,208,PKG-A
2025-02-17,East Metro,252,PKG-B
2025-02-17,West Port,192,PKG-A
2025-02-17,Central DC,348,PKG-C
2025-02-18,North Hub,232,PKG-A
2025-02-18,South Hub,210,PKG-A
2025-02-18,East Metro,255,PKG-B
2025-02-18,West Port,195,PKG-A
2025-02-18,Central DC,350,PKG-C
2025-02-19,North Hub,235,PKG-A
2025-02-19,South Hub,212,PKG-A
2025-02-19,East Metro,258,PKG-B
2025-02-19,West Port,198,PKG-A
2025-02-19,Central DC,352,PKG-C
2025-02-20,North Hub,238,PKG-A
2025-02-20,South Hub,215,PKG-A
2025-02-20,East Metro,260,PKG-B
2025-02-20,West Port,200,PKG-A
2025-02-20,Central DC,355,PKG-C
2025-02-21,North Hub,240,PKG-A
2025-02-21,South Hub,218,PKG-A
2025-02-21,East Metro,262,PKG-B
2025-02-21,West Port,202,PKG-A
2025-02-21,Central DC,358,PKG-C
2025-02-22,North Hub,242,PKG-A
2025-02-22,South Hub,220,PKG-A
2025-02-22,East Metro,265,PKG-B
2025-02-22,West Port,205,PKG-A
2025-02-22,Central DC,360,PKG-C
2025-02-23,North Hub,245,PKG-A
2025-02-23,South Hub,222,PKG-A
2025-02-23,East Metro,268,PKG-B
2025-02-23,West Port,208,PKG-A
2025-02-23,Central DC,362,PKG-C
2025-02-24,North Hub,248,PKG-A
2025-02-24,South Hub,225,PKG-A
2025-02-24,East Metro,270,PKG-B
2025-02-24,West Port,210,PKG-A
2025-02-24,Central DC,365,PKG-C
2025-02-25,North Hub,250,PKG-A
2025-02-25,South Hub,228,PKG-A
2025-02-25,East Metro,272,PKG-B
2025-02-25,West Port,212,PKG-A
2025-02-25,Central DC,368,PKG-C
2025-02-26,North Hub,252,PKG-A
2025-02-26,South Hub,230,PKG-A
2025-02-26,East Metro,275,PKG-B
2025-02-26,West Port,215,PKG-A
2025-02-26,Central DC,370,PKG-C
2025-02-27,North Hub,255,PKG-A
2025-02-27,South Hub,232,PKG-A
2025-02-27,East Metro,278,PKG-B
2025-02-27,West Port,218,PKG-A
2025-02-27,Central DC,372,PKG-C
2025-02-28,North Hub,258,PKG-A
2025-02-28,South Hub,235,PKG-A
2025-02-28,East Metro,280,PKG-B
2025-02-28,West Port,220,PKG-A
2025-02-28,Central DC,375,PKG-C
2025-03-01,North Hub,260,PKG-A
2025-03-01,South Hub,238,PKG-A
2025-03-01,East Metro,282,PKG-B
2025-03-01,West Port,222,PKG-A
2025-03-01,Central DC,378,PKG-C
2025-03-02,North Hub,262,PKG-A
2025-03-02,South Hub,240,PKG-A
2025-03-02,East Metro,285,PKG-B
2025-03-02,West Port,225,PKG-A
2025-03-02,Central DC,380,PKG-C
2025-03-03,North Hub,265,PKG-A
2025-03-03,South Hub,242,PKG-A
2025-03-03,East Metro,288,PKG-B
2025-03-03,West Port,228,PKG-A
2025-03-03,Central DC,382,PKG-C
2025-03-04,North Hub,268,PKG-A
2025-03-04,South Hub,245,PKG-A
2025-03-04,East Metro,290,PKG-B
2025-03-04,West Port,230,PKG-A
2025-03-04,Central DC,385,PKG-C
2025-03-05,North Hub,270,PKG-A
2025-03-05,South Hub,248,PKG-A
2025-03-05,East Metro,292,PKG-B
2025-03-05,West Port,232,PKG-A
2025-03-05,Central DC,388,PKG-C
2025-03-06,North Hub,272,PKG-A
2025-03-06,South Hub,250,PKG-A
2025-03-06,East Metro,295,PKG-B
2025-03-06,West Port,235,PKG-A
2025-03-06,Central DC,390,PKG-C
2025-03-07,North Hub,275,PKG-A
2025-03-07,South Hub,252,PKG-A
2025-03-07,East Metro,298,PKG-B
2025-03-07,West Port,238,PKG-A
2025-03-07,Central DC,392,PKG-C
2025-03-08,North Hub,278,PKG-A
2025-03-08,South Hub,255,PKG-A
2025-03-08,East Metro,300,PKG-B
2025-03-08,West Port,240,PKG-A
2025-03-08,Central DC,395,PKG-C
2025-03-09,North Hub,280,PKG-A
2025-03-09,South Hub,258,PKG-A
2025-03-09,East Metro,302,PKG-B
2025-03-09,West Port,242,PKG-A
2025-03-09,Central DC,398,PKG-C
2025-03-10,North Hub,282,PKG-A
2025-03-10,South Hub,260,PKG-A
2025-03-10,East Metro,305,PKG-B
2025-03-10,West Port,245,PKG-A
2025-03-10,Central DC,400,PKG-C
2025-03-11,North Hub,285,PKG-A
2025-03-11,South Hub,262,PKG-A
2025-03-11,East Metro,308,PKG-B
2025-03-11,West Port,248,PKG-A
2025-03-11,Central DC,402,PKG-C
2025-03-12,North Hub,288,PKG-A
2025-03-12,South Hub,265,PKG-A
2025-03-12,East Metro,310,PKG-B
2025-03-12,West Port,250,PKG-A
2025-03-12,Central DC,405,PKG-C
2025-03-13,North Hub,290,PKG-A
2025-03-13,South Hub,268,PKG-A
2025-03-13,East Metro,312,PKG-B
2025-03-13,West Port,252,PKG-A
2025-03-13,Central DC,408,PKG-C
2025-03-14,North Hub,292,PKG-A
2025-03-14,South Hub,270,PKG-A
2025-03-14,East Metro,315,PKG-B
2025-03-14,West Port,255,PKG-A
2025-03-14,Central DC,410,PKG-C
2025-03-15,North Hub,295,PKG-A
2025-03-15,South Hub,272,PKG-A
2025-03-15,East Metro,318,PKG-B
2025-03-15,West Port,258,PKG-A
2025-03-15,Central DC,412,PKG-C
2025-03-16,North Hub,298,PKG-A
2025-03-16,South Hub,275,PKG-A
2025-03-16,East Metro,320,PKG-B
2025-03-16,West Port,260,PKG-A
2025-03-16,Central DC,415,PKG-C
2025-03-17,North Hub,300,PKG-A
2025-03-17,South Hub,278,PKG-A
2025-03-17,East Metro,322,PKG-B
2025-03-17,West Port,262,PKG-A
2025-03-17,Central DC,418,PKG-C
2025-03-18,North Hub,302,PKG-A
2025-03-18,South Hub,280,PKG-A
2025-03-18,East Metro,325,PKG-B
2025-03-18,West Port,265,PKG-A
2025-03-18,Central DC,420,PKG-C
2025-03-19,North Hub,305,PKG-A
2025-03-19,South Hub,282,PKG-A
2025-03-19,East Metro,328,PKG-B
2025-03-19,West Port,268,PKG-A
2025-03-19,Central DC,422,PKG-C
2025-03-20,North Hub,308,PKG-A
2025-03-20,South Hub,285,PKG-A
2025-03-20,East Metro,330,PKG-B
2025-03-20,West Port,270,PKG-A
2025-03-20,Central DC,425,PKG-C
2025-03-21,North Hub,310,PKG-A
2025-03-21,South Hub,288,PKG-A
2025-03-21,East Metro,332,PKG-B
2025-03-21,West Port,272,PKG-A
2025-03-21,Central DC,428,PKG-C
2025-03-22,North Hub,312,PKG-A
2025-03-22,South Hub,290,PKG-A
2025-03-22,East Metro,335,PKG-B
2025-03-22,West Port,275,PKG-A
2025-03-22,Central DC,430,PKG-C
2025-03-23,North Hub,315,PKG-A
2025-03-23,South Hub,292,PKG-A
2025-03-23,East Metro,338,PKG-B
2025-03-23,West Port,278,PKG-A
2025-03-23,Central DC,432,PKG-C
2025-03-24,North Hub,318,PKG-A
2025-03-24,South Hub,295,PKG-A
2025-03-24,East Metro,340,PKG-B
2025-03-24,West Port,280,PKG-A
2025-03-24,Central DC,435,PKG-C
2025-03-25,North Hub,320,PKG-A
2025-03-25,South Hub,298,PKG-A
2025-03-25,East Metro,342,PKG-B
2025-03-25,West Port,282,PKG-A
2025-03-25,Central DC,438,PKG-C
2025-03-26,North Hub,322,PKG-A
2025-03-26,South Hub,300,PKG-A
2025-03-26,East Metro,345,PKG-B
2025-03-26,West Port,285,PKG-A
2025-03-26,Central DC,440,PKG-C
2025-03-27,North Hub,325,PKG-A
2025-03-27,South Hub,302,PKG-A
2025-03-27,East Metro,348,PKG-B
2025-03-27,West Port,288,PKG-A
2025-03-27,Central DC,442,PKG-C
2025-03-28,North Hub,328,PKG-A
2025-03-28,South Hub,305,PKG-A
2025-03-28,East Metro,350,PKG-B
2025-03-28,West Port,290,PKG-A
2025-03-28,Central DC,445,PKG-C
2025-03-29,North Hub,330,PKG-A
2025-03-29,South Hub,308,PKG-A
2025-03-29,East Metro,352,PKG-B
2025-03-29,West Port,292,PKG-A
2025-03-29,Central DC,448,PKG-C
2025-03-30,North Hub,332,PKG-A
2025-03-30,South Hub,310,PKG-A
2025-03-30,East Metro,355,PKG-B
2025-03-30,West Port,295,PKG-A
2025-03-30,Central DC,450,PKG-C
2025-03-31,North Hub,335,PKG-A
2025-03-31,South Hub,312,PKG-A
2025-03-31,East Metro,358,PKG-B
2025-03-31,West Port,298,PKG-A
2025-03-31,Central DC,452,PKG-C
2025-04-01,North Hub,338,PKG-A
2025-04-01,South Hub,315,PKG-A
2025-04-01,East Metro,360,PKG-B
2025-04-01,West Port,300,PKG-A
2025-04-01,Central DC,455,PKG-C
2025-04-02,North Hub,340,PKG-A
2025-04-02,South Hub,318,PKG-A
2025-04-02,East Metro,362,PKG-B
2025-04-02,West Port,302,PKG-A
2025-04-02,Central DC,458,PKG-C
2025-04-03,North Hub,342,PKG-A
2025-04-03,South Hub,320,PKG-A
2025-04-03,East Metro,365,PKG-B
2025-04-03,West Port,305,PKG-A
2025-04-03,Central DC,460,PKG-C
2025-04-04,North Hub,345,PKG-A
2025-04-04,South Hub,322,PKG-A
2025-04-04,East Metro,368,PKG-B
2025-04-04,West Port,308,PKG-A
2025-04-04,Central DC,462,PKG-C
2025-04-05,North Hub,348,PKG-A
2025-04-05,South Hub,325,PKG-A
2025-04-05,East Metro,370,PKG-B
2025-04-05,West Port,310,PKG-A
2025-04-05,Central DC,465,PKG-C
2025-04-06,North Hub,350,PKG-A
2025-04-06,South Hub,328,PKG-A
2025-04-06,East Metro,372,PKG-B
2025-04-06,West Port,312,PKG-A
2025-04-06,Central DC,468,PKG-C
2025-04-07,North Hub,352,PKG-A
2025-04-07,South Hub,330,PKG-A
2025-04-07,East Metro,375,PKG-B
2025-04-07,West Port,315,PKG-A
2025-04-07,Central DC,470,PKG-C
2025-04-08,North Hub,355,PKG-A
2025-04-08,South Hub,332,PKG-A
2025-04-08,East Metro,378,PKG-B
2025-04-08,West Port,318,PKG-A
2025-04-08,Central DC,472,PKG-C
2025-04-09,North Hub,358,PKG-A
2025-04-09,South Hub,335,PKG-A
2025-04-09,East Metro,380,PKG-B
2025-04-09,West Port,320,PKG-A
2025-04-09,Central DC,475,PKG-C
2025-04-10,North Hub,360,PKG-A
2025-04-10,South Hub,338,PKG-A
2025-04-10,East Metro,382,PKG-B
2025-04-10,West Port,322,PKG-A
2025-04-10,Central DC,478,PKG-C
